"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2022","1,050.53","1,041.02","1,078.09","1,041.02","916.99K","0.91%"
"12/07/2022","1,041.02","1,048.69","1,059.79","1,034.92","920.94K","-0.73%"
"12/06/2022","1,048.69","1,093.67","1,093.67","1,048.69","1.48M","-4.11%"
"12/05/2022","1,093.67","1,080.01","1,099.45","1,080.01","1.26M","1.26%"
"12/02/2022","1,080.01","1,036.28","1,080.01","1,030.81","1.09M","4.22%"
"12/01/2022","1,036.28","1,048.42","1,066.28","1,035.62","1.34M","-1.16%"
"11/30/2022","1,048.42","1,032.16","1,048.42","1,021.54","1.14M","1.58%"
"11/29/2022","1,032.16","1,005.69","1,032.16","998.56","1.18M","2.63%"
"11/28/2022","1,005.69","971.46","1,006.22","971.46","973.79K","3.52%"
"11/25/2022","971.46","947.71","971.46","947.71","622.50K","2.51%"
"11/24/2022","947.71","946.00","950.03","934.31","543.14K","0.18%"
"11/23/2022","946.00","952.12","958.61","942.02","542.12K","-0.64%"
"11/22/2022","952.12","960.65","985.28","948.52","1.05M","-0.89%"
"11/21/2022","960.65","969.33","973.19","956.77","597.72K","-0.90%"
"11/18/2022","969.33","969.26","971.77","939.73","960.58K","0.01%"
"11/17/2022","969.26","942.90","972.88","942.90","724.46K","2.80%"
"11/16/2022","942.90","911.90","945.42","873.78","1.05M","3.40%"
"11/15/2022","911.90","941.04","941.04","900.17","692.34K","-3.10%"
"11/14/2022","941.04","954.53","954.53","923.53","666.06K","-1.41%"
"11/11/2022","954.53","947.24","966.70","947.24","736.49K","0.77%"
"11/10/2022","947.24","975.97","976.31","935.78","698.76K","-3.89%"
"11/09/2022","985.59","981.65","994.79","977.93","583.06K","0.40%"
"11/08/2022","981.65","975.19","981.86","956.97","660.72K","0.66%"
"11/07/2022","975.19","997.15","997.15","969.61","646.85K","-2.20%"
"11/04/2022","997.15","1,008.23","1,009.96","974.61","753.11K","-2.22%"
"11/03/2022","1,019.81","1,023.19","1,023.95","1,010.65","442.89K","-0.33%"
"11/02/2022","1,023.19","1,033.75","1,034.73","1,018.64","578.23K","-1.02%"
"11/01/2022","1,033.75","1,027.94","1,043.53","1,027.39","613.98K","0.57%"
"10/31/2022","1,027.94","1,028.24","1,030.32","1,005.00","662.04K","0.06%"
"10/28/2022","1,027.36","1,028.01","1,044.57","1,026.53","654.70K","-0.06%"
"10/27/2022","1,028.01","993.36","1,028.01","990.48","647.72K","3.49%"
"10/26/2022","993.36","997.70","1,004.55","984.71","448.28K","-0.44%"
"10/25/2022","997.70","986.15","1,011.39","962.45","751.18K","1.17%"
"10/24/2022","986.15","1,019.82","1,023.51","977.41","654.95K","-3.30%"
"10/21/2022","1,019.82","1,058.45","1,059.09","1,013.69","742.10K","-3.65%"
"10/20/2022","1,058.45","1,056.14","1,065.28","1,048.21","398.33K","-0.15%"
"10/19/2022","1,060.07","1,063.66","1,065.99","1,052.29","400.66K","-0.34%"
"10/18/2022","1,063.66","1,051.58","1,071.74","1,051.58","514.84K","1.15%"
"10/17/2022","1,051.58","1,061.85","1,061.85","1,033.59","497.42K","-0.97%"
"10/14/2022","1,061.85","1,050.99","1,068.12","1,050.99","641.48K","1.03%"
"10/13/2022","1,050.99","1,034.81","1,050.99","1,025.04","477.33K","1.56%"
"10/12/2022","1,034.81","1,006.20","1,039.44","1,002.89","616.14K","2.84%"
"10/11/2022","1,006.20","1,042.48","1,042.48","998.64","672.10K","-3.48%"
"10/10/2022","1,042.48","1,035.91","1,051.02","1,012.94","692.98K","0.63%"
"10/07/2022","1,035.91","1,074.52","1,074.52","1,022.38","877.31K","-3.59%"
"10/06/2022","1,074.52","1,104.26","1,106.97","1,072.57","545.82K","-2.69%"
"10/05/2022","1,104.26","1,078.14","1,110.21","1,078.14","451.94K","2.42%"
"10/04/2022","1,078.14","1,086.44","1,100.42","1,069.74","582.82K","-0.76%"
"10/03/2022","1,086.44","1,132.11","1,132.11","1,079.86","554.15K","-4.03%"
"09/30/2022","1,132.11","1,126.07","1,135.47","1,099.44","729.67K","0.54%"
"09/29/2022","1,126.07","1,143.62","1,159.49","1,126.07","491.47K","-1.53%"
"09/28/2022","1,143.62","1,166.54","1,166.54","1,142.79","527.70K","-1.96%"
"09/27/2022","1,166.54","1,174.35","1,180.75","1,166.44","466.62K","-0.67%"
"09/26/2022","1,174.35","1,203.28","1,203.28","1,159.12","757.09K","-2.40%"
"09/23/2022","1,203.28","1,214.70","1,216.59","1,201.45","485.38K","-0.94%"
"09/22/2022","1,214.70","1,210.55","1,214.70","1,196.64","473.56K","0.34%"
"09/21/2022","1,210.55","1,218.93","1,218.93","1,204.68","391.71K","-0.69%"
"09/20/2022","1,218.93","1,212.08","1,218.93","1,199.71","473.89K","1.12%"
"09/19/2022","1,205.43","1,234.03","1,234.03","1,202.07","701.96K","-2.32%"
"09/16/2022","1,234.03","1,245.66","1,246.17","1,230.37","632.37K","-0.93%"
"09/15/2022","1,245.66","1,240.77","1,250.93","1,240.77","429.84K","0.39%"
"09/14/2022","1,240.77","1,248.40","1,248.40","1,228.51","607.86K","-0.61%"
"09/13/2022","1,248.40","1,249.62","1,252.35","1,243.87","473.97K","-0.10%"
